id,target
00034abb3629,0
0004300a0b9b,0
000453852fda,0
00047dfc96a9,0
0004be0baf70,0
0005be4d0752,0
0006457aa591,0
0008fcc2f87d,0
0009a92c4b1c,0
000a6d98b0e4,0
000aa7a1875d,0
000b676ce5ea,0
000bd0f1a44d,0
000e36101603,0
00109b21291e,0
0011aea46310,0
00159432736b,0
0017185cd3f4,0
0018646aad1f,0
001a18d3a379,0
001c619bdf53,1
001cb3b01904,0
001f5ee68804,0
0021cb4d18e4,0
002271f5b8ee,0
0023a159c524,0
00268323cce6,0
00295a36a451,0
0029c8e11135,0
002a709c41b9,0
002ceac8d056,0
002f36b0f2b2,0
002fdabd370e,0
0030dc7cf6e0,1
003147674cb9,1
0031f7662b97,0
0032f8a5972c,0
00334752b105,0
00369ce3b586,0
0037a4d8a7da,0
0037ea0720fb,0
003869e291cd,1
003971f84d11,0
003a7bdc7c1d,0
003b6e82e852,1
003c1d0f143f,0
003d4df53c42,0
004270a84e13,0
0042b32001e4,0
0044f17c7e4f,0
0045b89171a6,0
0046e277fa38,0
00487d255c08,0
004c9a1a4c0c,0
004cd81a867c,1
004cf4fd4c94,0
004dc830dd55,0
004ed412715d,0
005084b69b19,0
00509b93223c,0
00523e048ef8,0
005264a8f818,0
00526b58dffe,0
00569a6fe303,0
0057fa2212cf,0
00588359894a,0
00593ab9c3be,0
00595e260260,0
005d9eaca9eb,0
005f6dd3c506,0
005fada89dac,0
0060015a24f4,0
0061debbbe8e,0
006223806248,0
0062a88580a2,0
0064e860208e,0
00667e94a985,1
006767533bc1,0
006802800d16,0
006851197788,0
0068cddf0594,0
00691fbcc81a,0
006a69f48a94,0
0073c68f08ab,0
00765898e13e,0
0078157399c9,1
0078c726fc6c,0
007acf49909d,0
007ec98c6caa,0
0081a1a19d8b,0
0081ab335213,0
00862168594b,0
00864c56bfdc,0
00869ac5a5bc,0
0087db38aa5f,1
0089413a8e80,0
00895700cd3e,0
0089b8c39af2,0
0089ed1364b2,0
008a24e28450,0
008d630fd98a,0
008d88019293,0
008ee3ca84d9,0
008fa55b2fd9,0
008fe21c1350,0
0090fafd1023,0
00910ca80f40,0
0092a64f10ca,0
009397037537,0
00951cd8306f,0
00969db0cc82,0
0098d257144c,0
0098ef046014,0
009a24816e32,0
009b3f1fe03d,0
009bfc8a9791,1
009d6e185d4f,0
009e32309ee5,0
00a0e3260fea,0
00a1a2ec993b,0
00a1a57bfbcf,1
00a46646f64d,0
00a4e0467e68,0
00a56c2ef2b4,0
00a84b36b08a,0
00a900dc3097,0
00a94de49e1d,0
00ab531eba0b,0
00abb3e81453,0
00b0434ed1a8,0
00b0d5b2f409,0
00b117b0a566,0
00b16f12b4da,0
00b1a1916004,0
00b3a5364176,1
00b456a583b9,0
00b77b624ee3,0
