id,target,file_path,fold,pred
0000799a2b2c42d,0,../input/train/0/0000799a2b2c42d.npy,0,0.021072388
00042890562ff68,0,../input/train/0/00042890562ff68.npy,0,0.013461113
0009283e145448e,0,../input/train/0/0009283e145448e.npy,0,0.021709442
0014d4e495190df,0,../input/train/0/0014d4e495190df.npy,0,0.011780739
001e0e14b128d31,0,../input/train/0/001e0e14b128d31.npy,0,0.0048851967
00225000069d6f0,0,../input/train/0/00225000069d6f0.npy,0,0.005022526
00266da7e04f9d6,0,../input/train/0/00266da7e04f9d6.npy,0,0.011697769
0028a35de92941d,1,../input/train/0/0028a35de92941d.npy,0,1.0
00412077d1aef6f,1,../input/train/0/00412077d1aef6f.npy,0,1.0
00414bbe99cd962,0,../input/train/0/00414bbe99cd962.npy,0,0.023309708
0050720884e991b,0,../input/train/0/0050720884e991b.npy,0,0.02265358
0065bc7ba9b1a42,0,../input/train/0/0065bc7ba9b1a42.npy,0,0.0024540424
007df4ae3944433,0,../input/train/0/007df4ae3944433.npy,0,0.01809311
0081194f794932a,0,../input/train/0/0081194f794932a.npy,0,0.008468151
008682591923741,0,../input/train/0/008682591923741.npy,0,0.020988464
00873e59537a758,0,../input/train/0/00873e59537a758.npy,0,0.008306026
0088364213f2af6,0,../input/train/0/0088364213f2af6.npy,0,0.0034694672
0089589db226274,0,../input/train/0/0089589db226274.npy,0,0.016103745
008a04696dfdeb9,0,../input/train/0/008a04696dfdeb9.npy,0,0.00486207
008f365b1ae48d8,0,../input/train/0/008f365b1ae48d8.npy,0,0.008296967
0092363e44fbcf7,0,../input/train/0/0092363e44fbcf7.npy,0,0.023630142
0095b95cabc9c7e,0,../input/train/0/0095b95cabc9c7e.npy,0,0.0058279037
00973367d6481e2,1,../input/train/0/00973367d6481e2.npy,0,0.021385193
0097ec9a99008e9,1,../input/train/0/0097ec9a99008e9.npy,0,0.028917313
0098949a983353d,0,../input/train/0/0098949a983353d.npy,0,0.1241951
009ca6f1c78d12d,0,../input/train/0/009ca6f1c78d12d.npy,0,0.015961647
00a274a75c325eb,0,../input/train/0/00a274a75c325eb.npy,0,0.014397621
00a655f3c0a1fdd,0,../input/train/0/00a655f3c0a1fdd.npy,0,0.014731407
00ad54730fcc006,0,../input/train/0/00ad54730fcc006.npy,0,0.021678925
00adfb542ef609e,0,../input/train/0/00adfb542ef609e.npy,0,0.0025980473
00afa5ed6d90512,0,../input/train/0/00afa5ed6d90512.npy,0,0.009614944
00b10900fd5d02b,0,../input/train/0/00b10900fd5d02b.npy,0,0.0048851967
00b3a71aac30e1d,0,../input/train/0/00b3a71aac30e1d.npy,0,0.019008636
00c053554051273,0,../input/train/0/00c053554051273.npy,0,0.0047016144
00c758666a98294,0,../input/train/0/00c758666a98294.npy,0,0.01332283
00c8f01147c7cc4,1,../input/train/0/00c8f01147c7cc4.npy,0,0.9996948
00d58f2c8892e22,0,../input/train/0/00d58f2c8892e22.npy,0,0.013724327
00d8ff65c53d347,0,../input/train/0/00d8ff65c53d347.npy,0,0.0042459965
00de011d829a137,0,../input/train/0/00de011d829a137.npy,0,0.008302689
00e1a00acb24e0a,0,../input/train/0/00e1a00acb24e0a.npy,0,0.016935349
00f62c3534bc521,0,../input/train/0/00f62c3534bc521.npy,0,0.026977539
00fe3051ee8eebd,0,../input/train/0/00fe3051ee8eebd.npy,0,0.0054814816
010771e0b6039af,0,../input/train/0/010771e0b6039af.npy,0,0.016446114
0108c99f889ed4d,0,../input/train/0/0108c99f889ed4d.npy,0,0.017564774
010b4f7aec8012e,0,../input/train/0/010b4f7aec8012e.npy,0,0.028268814
011282237c63ef8,0,../input/train/0/011282237c63ef8.npy,0,0.017131805
